angle_right_elbow,angle_left_elbow,angle_right_shoulder,angle_left_knee,angle_right_knee,angle_right_hip_knee,angle_left_hip_knee,angle_right_hip_shoulder,angle_right_shank,angle_left_shank,left_shoulder_right_shoulder,right_shoulder_right_elbow,right_shoulder_right_hip,left_hip_right_hip,right_hip_right_knee,right_knee_right_ankle,gap_leg_bat,bat_angle,image_name,label
78.259,88.768,84.421,154.787,146.877,114.294,66.595,147.145,101.718,107.273,0.182,0.26,0.451,0.164,0.282,0.409,2.6325526,38.082,10.png,backfoot drive
87.157,84.131,72.336,110.291,109.722,100.881,81.48,156.177,115.53,81.281,0.229,0.291,0.496,0.194,0.287,0.42,0,29.899,100.png,backfoot drive
73.494,30.715,69.527,142.86,150.118,96.705,87.515,165.07,101.476,80.232,0.21,0.237,0.513,0.188,0.329,0.407,0,38.351,101.png,backfoot drive
59.658,62.688,68.21,153.305,161.777,87.074,92.542,173.067,97.387,88.688,0.21,0.224,0.52,0.196,0.351,0.419,0,50.421,102.png,backfoot drive
78.016,55.069,69.266,119.528,141.214,102.305,76.38,157.573,117.644,66.174,0.232,0.258,0.513,0.192,0.332,0.374,0,32.542,103.png,backfoot drive
71.338,26.973,65.939,140.949,156.643,94.903,86.176,164.741,104.314,71.258,0.214,0.244,0.524,0.189,0.317,0.394,0,38.82,104.png,backfoot drive
93.705,82.354,71.782,103.594,118.185,99.888,86.016,163.921,128.022,66.768,0.244,0.24,0.497,0.2,0.323,0.409,0,25.61,105.png,backfoot drive
80.337,39.537,65.522,126.019,135.901,118.844,66.683,141.074,100.822,74.525,0.237,0.329,0.517,0.23,0.339,0.406,22.470644,49.834,13.png,backfoot drive
93.865,117.638,83.234,135.799,148.419,110.285,79.431,149.703,91.245,89.788,0.193,0.295,0.509,0.215,0.317,0.386,21.573332,42.299,14.png,backfoot drive
81.896,85.97,68.808,150.155,157.054,102.072,84.091,161.212,94.747,89.051,0.193,0.336,0.464,0.209,0.312,0.382,24.284983,45.792,15.png,backfoot drive
143.686,159.825,102.498,146.967,139.733,94.446,111.375,157.291,106.828,62.216,0.192,0.182,0.536,0.167,0.295,0.348,21.410152,65.695,17.png,backfoot drive
135.11,164.817,115.149,153.224,135.255,105.351,87.252,169.805,116.881,53.344,0.079,0.14,0.56,0.126,0.273,0.32,21.245829,66.371,18.png,backfoot drive
142.623,154.65,76.54,163.514,104.131,111.354,56.674,124.959,122.412,116.939,0.115,0.189,0.439,0.087,0.075,0.103,21.449928,66.371,19.png,backfoot drive
88.022,67.671,83.135,164.554,162.679,91.431,90.6,171.39,91.657,94.893,0.185,0.202,0.549,0.2,0.356,0.432,22.627123,65.186,201.png,backfoot drive
77.111,62.359,73.031,162.125,161.906,88.493,93.401,167.796,87.714,101.136,0.153,0.151,0.559,0.185,0.351,0.44,22.796917,65.695,202.png,backfoot drive
97.563,83.777,97.575,163.193,160.099,91.235,91.425,171.11,88.12,98.571,0.174,0.149,0.574,0.196,0.351,0.448,22.477707,65.186,203.png,backfoot drive
132.96,116.958,60.191,141.588,84.128,129.556,92.608,60.64,126.662,155.705,0.161,0.168,0.406,0.173,0.133,0.117,21.893982,66.15,21.png,backfoot drive
77.612,59.33,68.439,163.838,162.458,89.189,90.92,171.952,95.893,92.902,0.173,0.229,0.539,0.187,0.353,0.429,21.763088,65.925,22.png,backfoot drive
94.671,89.127,96.806,164.457,160.944,89.607,93.846,169.728,89.522,101.127,0.169,0.141,0.565,0.194,0.354,0.449,22.244804,65.925,23.png,backfoot drive
114.261,68.144,93.649,168.696,164.051,92.227,93.655,170.911,96.377,99.295,0.137,0.14,0.546,0.182,0.348,0.435,16.319578,74.208,27.png,backfoot drive
108.768,82.928,94.619,165.049,162.331,93.309,89.024,171.459,94.595,102.312,0.165,0.167,0.513,0.199,0.36,0.43,17.67035,71.03,28.png,backfoot drive
94.21,54.629,53.1,161.108,159.126,97.334,86.271,171.023,94.867,98.824,0.133,0.21,0.509,0.169,0.367,0.433,18.498827,71.03,29.png,backfoot drive
119.589,104.144,71.028,168.095,162.33,89.628,96.028,171.095,95.62,102.419,0.121,0.204,0.547,0.162,0.369,0.414,16.602242,69.717,30.png,backfoot drive
116.008,61.965,63.906,163.13,162.35,89.106,99.668,175.109,89.135,106.529,0.167,0.217,0.543,0.193,0.383,0.402,16.868614,68.629,31.png,backfoot drive
111.171,72.58,76.247,165.402,169.641,86.52,93.422,174.447,91.454,103.89,0.136,0.185,0.54,0.17,0.344,0.405,17.35844,67.38,32.png,backfoot drive
104.287,67.743,75.994,163.72,166.507,88.963,96.438,176.1,91.678,102.768,0.158,0.172,0.532,0.188,0.362,0.415,17.453762,67.218,33.png,backfoot drive
108.553,56.507,85.949,166.61,168.573,89.248,93.847,177.072,93.703,100.547,0.178,0.162,0.565,0.193,0.357,0.422,18.480225,65.985,34.png,backfoot drive
79.146,63.56,89.91,163.474,143.135,111.313,84.016,34.166,140.987,161.403,0.139,0.132,0.421,0.132,0.122,0.146,17.95066,65.113,35.png,backfoot drive
105.172,85.168,109.335,169.61,161.9,90.808,89.151,175.096,91.501,98.693,0.096,0.108,0.569,0.131,0.364,0.425,17.336985,62.447,36.png,backfoot drive
99.53,74.119,88.839,167.16,166.784,88.896,94.184,178.67,91.524,101.597,0.15,0.171,0.572,0.176,0.356,0.404,17.9802,64.537,37.png,backfoot drive
97.42,70.687,87.292,167.493,166.238,93.521,89.245,179.805,92.233,98.226,0.139,0.143,0.558,0.169,0.34,0.405,18.388414,64.323,38.png,backfoot drive
107.696,40.907,62.675,172.306,165.73,94.271,90.131,179.653,94.509,94.091,0.125,0.144,0.568,0.155,0.366,0.421,19.00852,63.658,39.png,backfoot drive
98.403,88.206,96.612,155.861,149.671,104.095,77.344,148.921,87.039,95.352,0.14,0.259,0.517,0.18,0.313,0.415,1.4899144,23.263,4.png,backfoot drive
91.27,60.877,71.047,171.832,163.78,87.001,93.454,175.531,98.981,90.778,0.159,0.157,0.569,0.176,0.356,0.42,19.073854,63.877,40.png,backfoot drive
102.449,70.262,72.835,164.705,164.711,86.36,95.795,178.629,90.125,105.293,0.165,0.221,0.541,0.186,0.357,0.413,18.977654,64.093,41.png,backfoot drive
92.781,54.893,70.305,167.62,162.238,88.757,92.046,176.929,94.694,94.857,0.171,0.157,0.574,0.179,0.35,0.429,18.333931,64.537,42.png,backfoot drive
98.513,30.535,74.234,162.229,163.008,90.374,90.869,176.797,85.62,106.231,0.185,0.225,0.541,0.188,0.338,0.407,18.189857,63.877,43.png,backfoot drive
101.001,22.935,67.14,161.248,160.625,91.169,90.502,176.71,83.281,109.161,0.2,0.244,0.528,0.199,0.34,0.412,17.63885,63.877,44.png,backfoot drive
93.703,19.871,66.915,160.092,162.989,91.019,93.311,176.598,86.594,108.266,0.207,0.228,0.543,0.204,0.341,0.408,16.906668,64.093,45.png,backfoot drive
101.538,83.376,93.582,159.172,157.016,105.794,78.476,160.207,84.502,99.942,0.139,0.233,0.491,0.175,0.323,0.427,17.45213,44.246,5.png,backfoot drive
72.572,33.43,62.295,159.545,162.907,91.19,90.979,177.428,90.752,103.48,0.192,0.221,0.522,0.196,0.347,0.415,11.562601,64.516,57.png,backfoot drive
99.01,73.117,84.538,165.209,162.644,89.777,92.238,170.416,93.283,95.671,0.198,0.186,0.566,0.202,0.367,0.448,21.785936,64.44,577.png,backfoot drive
