angle_right_elbow,angle_left_elbow,angle_right_shoulder,angle_left_knee,angle_right_knee,angle_right_hip_knee,angle_left_hip_knee,angle_right_hip_shoulder,angle_right_shank,angle_left_shank,left_shoulder_right_shoulder,right_shoulder_right_elbow,right_shoulder_right_hip,left_hip_right_hip,right_hip_right_knee,right_knee_right_ankle,gap_leg_bat,bat_angle,image_name,label
120.634,97.586,91.707,154.912,118.388,124.192,67.651,88.221,80.938,114.797,0.241,0.194,0.287,0.235,0.354,0.449,6.4089546,116.263,10.png,forward defence
118.25,105.527,72.874,119,146.12,124.086,92.003,130.106,131.553,81.689,0.19,0.277,0.441,0.222,0.341,0.462,1.7146912,125.38,100.png,forward defence
129.992,115.452,64.894,107.131,150.618,112.281,91.872,137.925,130.274,77.965,0.186,0.269,0.454,0.209,0.352,0.44,3.5688162,122.495,101.png,forward defence
122.35,117.138,73.826,120.309,151.411,123.728,90.503,129.968,132.287,76.474,0.202,0.293,0.411,0.216,0.355,0.462,5.3350697,121.973,103.png,forward defence
128.425,100.695,59.443,125.902,157.425,119.204,83.901,142.766,130.369,85.244,0.215,0.3,0.423,0.209,0.347,0.442,4.6961393,119.539,104.png,forward defence
117.951,102.915,68.835,126.242,155.638,131.568,84.366,129.465,123.859,92.747,0.201,0.284,0.402,0.21,0.316,0.447,2.1555882,115.796,105.png,forward defence
111.919,126.582,80.08,131.501,160.18,126.097,73.519,122.842,119.97,97.689,0.242,0.279,0.449,0.21,0.319,0.454,4.829544,125.723,12.png,forward defence
104.291,106.242,67.25,138.665,158.619,116.62,77.622,136.327,114.213,101.135,0.224,0.28,0.411,0.196,0.317,0.436,5.3375874,121.547,13.png,forward defence
132.305,109.518,78.576,93.961,147.197,127.428,88.189,146.512,146.31,86.037,0.199,0.316,0.483,0.215,0.334,0.417,10.226491,117.264,145.png,forward defence
128.088,116.624,78.633,96.063,142.407,127.331,83.894,143.302,147.861,86.451,0.22,0.291,0.484,0.226,0.316,0.423,0.66300774,116.866,146.png,forward defence
126.323,125.036,79.245,95.206,127.98,120.361,78.754,142.402,154.236,82.093,0.234,0.306,0.472,0.21,0.36,0.437,9.228883,117.945,147.png,forward defence
135.706,94.963,63.18,120.526,128.34,110.04,81.152,147.018,144.053,93.235,0.224,0.31,0.458,0.219,0.343,0.453,0.5744066,117.518,148.png,forward defence
141.495,103.729,77.321,88.461,143.362,123.732,91.217,142.425,148.168,77.483,0.217,0.311,0.487,0.229,0.334,0.407,8.092775,127.706,149.png,forward defence
141.694,103.478,87.897,85.119,147.151,130.407,94.136,140.252,151.966,82.338,0.21,0.307,0.485,0.232,0.329,0.407,0.06731033,133.811,150.png,forward defence
138.2,107.827,75.512,86.583,123.794,123.135,87.743,143.814,150.783,77.976,0.204,0.31,0.487,0.221,0.345,0.428,2.245821,125.808,151.png,forward defence
141.033,94.116,58.845,87.936,138.716,118.144,82.098,154.106,145.341,74.414,0.209,0.304,0.466,0.217,0.339,0.425,12.472493,125.3,152.png,forward defence
139.946,99.62,69.003,85.415,133.115,121.339,88.37,145.616,144.941,77.963,0.227,0.315,0.483,0.232,0.338,0.415,0.13726997,132.039,153.png,forward defence
122.147,95.065,52.908,96.337,139.486,113.98,74.332,156.199,146.362,76.3,0.226,0.305,0.463,0.208,0.355,0.436,10.576074,124.274,154.png,forward defence
124.934,92.591,64.397,95.602,138.293,120.685,80.525,148.436,144.407,80.522,0.231,0.292,0.471,0.23,0.337,0.431,0.90159225,131.455,155.png,forward defence
147.249,88.072,63.636,100.708,148.523,121.41,96.254,144.963,134.98,80.325,0.213,0.294,0.483,0.231,0.335,0.417,1.1017246,133.234,156.png,forward defence
