angle_right_elbow,angle_left_elbow,angle_right_shoulder,angle_left_knee,angle_right_knee,angle_right_hip_knee,angle_left_hip_knee,angle_right_hip_shoulder,angle_right_shank,angle_left_shank,left_shoulder_right_shoulder,right_shoulder_right_elbow,right_shoulder_right_hip,left_hip_right_hip,right_hip_right_knee,right_knee_right_ankle,gap_leg_bat,bat_angle,image_name,label
82.27,79.479,79.283,100.769,156.96,133.523,84.778,141.439,136.509,79.527,0.173,0.254,0.488,0.194,0.321,0.448,3.3667984,60.662,1.png,forward drive
97.072,86.427,100.033,125.061,151.955,115.484,80.236,154.924,129.815,84.762,0.219,0.225,0.498,0.21,0.316,0.445,1.7366524,56.31,1000.png,forward drive
80.687,76.454,89.01,146.878,151.51,110.495,69.036,160.7,123.332,96.505,0.246,0.237,0.489,0.188,0.339,0.434,12.987131,56.113,102.png,forward drive
88.35,70.424,84.609,149.744,152.501,108.168,70.134,161.916,122.443,93.977,0.239,0.265,0.472,0.188,0.338,0.453,13.613176,59.349,105.png,forward drive
68.797,65.639,84.409,146.628,144.259,114.525,69.147,159.274,125.041,95.827,0.221,0.243,0.478,0.183,0.335,0.455,14.7754345,57.612,108.png,forward drive
80.537,78.512,84.44,148.612,151.132,109.145,58.738,157.182,126.625,96.143,0.278,0.255,0.472,0.169,0.349,0.449,13.585803,56.409,111.png,forward drive
97.076,70.235,74.666,145.632,153.498,106.463,70.885,163.122,114.777,91.593,0.212,0.255,0.467,0.187,0.341,0.44,13.794838,64.093,114.png,forward drive
86.632,69.337,85.04,147.854,148.15,110.963,66.7,157.308,123.554,94.939,0.251,0.266,0.472,0.177,0.343,0.447,13.450619,58.536,117.png,forward drive
90.332,55.773,70.432,142.327,147.565,109.703,71.102,165.662,118.966,91.354,0.194,0.243,0.478,0.185,0.346,0.443,13.49192,60.301,120.png,forward drive
70.827,66.296,86.192,145.376,138.931,124.391,55.757,140.512,120.534,91.029,0.27,0.237,0.454,0.177,0.339,0.452,15.610569,57.2,123.png,forward drive
76.63,68.508,89.355,153.993,139.992,120.93,59.587,137.728,112.013,94.358,0.258,0.239,0.456,0.187,0.329,0.411,16.248796,60.299,126.png,forward drive
80.336,56.69,71.487,144.848,149.929,109.064,73.011,166.517,115.959,92.048,0.211,0.257,0.457,0.194,0.345,0.449,13.922903,61.624,129.png,forward drive
76.029,73.643,88.902,153.326,150.144,112.719,60.329,151.807,121.82,98.53,0.271,0.261,0.463,0.174,0.335,0.444,15.065487,57.995,132.png,forward drive
85.27,80.156,82.575,150.38,152.202,111.843,63.745,157.809,117.767,97.692,0.23,0.275,0.454,0.18,0.336,0.442,14.613464,59.421,135.png,forward drive
87.45,59.674,87.169,151.455,149.37,116.915,66.801,156.343,120.149,95.657,0.232,0.259,0.468,0.183,0.334,0.445,15.8104,59.407,138.png,forward drive
78.501,62.663,82.738,150.9,150.268,115.143,66.07,156.93,121.472,94.939,0.238,0.257,0.473,0.181,0.336,0.455,13.623038,59.098,141.png,forward drive
84.637,66.626,83.016,148.072,150.704,111.381,67.602,156.518,116.51,93.656,0.238,0.283,0.472,0.183,0.329,0.444,14.9730835,61.271,144.png,forward drive
62.757,56.858,78.207,153.234,149.913,107.344,71.697,166.151,118.365,100.034,0.223,0.167,0.478,0.173,0.342,0.447,14.932259,59.61,147.png,forward drive
87.308,78.537,81.44,128.862,135.957,124.571,74.438,119.194,91.781,120.108,0.264,0.267,0.449,0.212,0.319,0.421,8.483242,59.462,150.png,forward drive
165.385,125.313,146.957,21.085,19.002,114.034,76.059,23.934,74.386,82.92,0.258,0.202,0.498,0.131,0.253,0.295,8.115976,72.229,184.png,forward drive
105.59,71.536,95.331,146.932,146.443,114.882,82.236,149.933,114.98,92.827,0.187,0.211,0.503,0.208,0.337,0.46,1.7834663,70.096,185.png,forward drive
159.167,115.825,154.838,100.799,119.065,115.113,96.634,132.902,47.865,134.661,0.207,0.21,0.519,0.161,0.102,0.374,9.62085,73.237,186.png,forward drive
158.741,115.548,154.511,61.444,56.111,151.197,100.749,67.814,55.428,139.896,0.211,0.216,0.501,0.16,0.111,0.375,9.6531105,73.237,187.png,forward drive
155.307,107.301,152.677,85.952,5.938,127.463,106.963,8.691,29.119,137.921,0.196,0.209,0.469,0.173,0.196,0.429,9.813068,74.407,188.png,forward drive
95.326,47.197,85.264,144.202,154.114,112.994,82.004,158.906,110.891,91.768,0.174,0.225,0.492,0.191,0.345,0.41,7.444475,74.859,189.png,forward drive
87.432,50.723,81.949,145.443,157.233,110.028,83.33,162.376,112.337,91.681,0.18,0.216,0.49,0.196,0.352,0.403,10.914797,51.843,190.png,forward drive
62.743,47.726,73.167,144.139,155.111,110.621,86.097,163.007,111.189,94.534,0.182,0.151,0.493,0.21,0.35,0.411,8.552895,75.964,191.png,forward drive
70.967,46.603,79.907,147.291,163.085,112.002,80.7,162.224,114.686,92.348,0.186,0.19,0.478,0.192,0.354,0.411,7.7541723,75.964,192.png,forward drive
159.621,111.099,151.741,75.179,39.603,140.418,99.804,54.87,38.533,143.054,0.223,0.209,0.482,0.168,0.192,0.381,9.057645,75.964,193.png,forward drive
160.994,110.687,150.762,87.227,41.044,131.329,101.973,46.815,53.46,154.306,0.212,0.198,0.484,0.159,0.245,0.375,8.520948,75.801,194.png,forward drive
158.66,109.783,148.672,90.221,38.763,134.935,112.874,41.227,42.884,141.16,0.216,0.201,0.476,0.172,0.243,0.396,9.137745,75.801,195.png,forward drive
157.249,106.571,145.461,89.841,42.658,135.053,108.221,47.968,43.134,143.135,0.23,0.185,0.46,0.176,0.23,0.384,9.095018,75.114,196.png,forward drive
162.076,123.343,154.256,75.044,44.683,149.76,103.104,58.787,55.52,147.678,0.211,0.214,0.492,0.16,0.187,0.395,8.394766,75.292,197.png,forward drive
154.932,118.888,142.768,70.01,43.015,135.337,107.019,48.405,59.052,142.088,0.233,0.186,0.444,0.179,0.289,0.401,9.181387,75.292,198.png,forward drive
158.594,112.935,154.291,74.845,41.194,135.497,107.437,43.863,51.392,146.456,0.215,0.199,0.484,0.172,0.243,0.397,8.772227,75.466,199.png,forward drive
79.913,69.621,87.575,126.662,146.531,114.121,82.287,160.182,135.138,77.564,0.182,0.173,0.52,0.195,0.346,0.434,9.015418,61.775,2.png,forward drive
160.259,109.55,147.747,74.787,40.347,128.973,99.138,46.113,60.367,155.764,0.219,0.197,0.464,0.16,0.266,0.362,8.638948,75.466,200.png,forward drive
159.912,111.037,146.45,76.233,36.906,137.034,97.976,47.263,56.503,151.024,0.231,0.199,0.466,0.168,0.25,0.377,8.929834,75.801,201.png,forward drive
